epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,48276,1.07529,0.86489,1.32118,0.63429,0.65284,0.67676,0.36071,1.69628,1.01159,1.22251,0.000701435,0.000701435,0.000701435
74,48965.8,1.0911,0.85147,1.31166,0.59102,0.7253,0.66924,0.35684,1.65838,0.99423,1.19569,0.00069133,0.00069133,0.00069133
75,49605.7,1.07274,0.82633,1.31506,0.5902,0.67892,0.6639,0.35509,1.6855,1.01573,1.21149,0.000681225,0.000681225,0.000681225
76,50300.2,1.06833,0.83058,1.32039,0.58428,0.71051,0.68246,0.3608,1.67901,1.00235,1.19337,0.00067112,0.00067112,0.00067112
77,51035,1.06787,0.83942,1.30457,0.58192,0.72505,0.67132,0.35169,1.6801,0.97502,1.22155,0.000661015,0.000661015,0.000661015
78,51648.3,1.06916,0.84552,1.30765,0.61372,0.67713,0.68564,0.36151,1.66294,1.02102,1.20513,0.000650909,0.000650909,0.000650909
79,52351.7,1.05176,0.82714,1.28839,0.5958,0.72249,0.69663,0.36448,1.68114,0.96765,1.18796,0.000640804,0.000640804,0.000640804
80,53028,1.09458,0.83129,1.299,0.60482,0.71462,0.68769,0.36672,1.67765,0.99281,1.20677,0.000630699,0.000630699,0.000630699
81,53800.1,1.09008,0.8113,1.29249,0.62158,0.66101,0.68374,0.36631,1.66582,0.99233,1.19927,0.000620594,0.000620594,0.000620594
82,54550,1.06657,0.82033,1.29876,0.56694,0.74279,0.69838,0.36487,1.67479,0.98889,1.19868,0.000610489,0.000610489,0.000610489
83,55263,1.0834,0.81895,1.28329,0.64989,0.66424,0.69514,0.36564,1.66503,1.00426,1.18973,0.000600384,0.000600384,0.000600384
84,55970.8,1.05465,0.83144,1.29757,0.59688,0.70737,0.67394,0.35495,1.66037,0.98701,1.18218,0.000590279,0.000590279,0.000590279
85,56641.6,1.05419,0.78907,1.29984,0.60425,0.70968,0.6841,0.36716,1.64816,1.00728,1.18877,0.000580174,0.000580174,0.000580174
86,57259.8,1.05183,0.8078,1.28355,0.65052,0.67921,0.67658,0.36109,1.65417,1.04151,1.18425,0.000570069,0.000570069,0.000570069
87,57942.8,1.04282,0.79319,1.27799,0.6693,0.67374,0.69485,0.36754,1.64713,1.01569,1.18277,0.000559964,0.000559964,0.000559964
88,58617,1.03836,0.78638,1.28465,0.62555,0.69366,0.68591,0.36019,1.66038,1.00935,1.19706,0.000549859,0.000549859,0.000549859
89,59222.3,1.04013,0.76968,1.2761,0.56781,0.74965,0.676,0.36032,1.65894,0.99421,1.19274,0.000539754,0.000539754,0.000539754
90,59870.3,1.04245,0.78047,1.27141,0.60276,0.70634,0.68642,0.36345,1.67535,1.02007,1.19991,0.000529649,0.000529649,0.000529649
91,60483,1.03165,0.76795,1.27362,0.65372,0.69081,0.69652,0.36793,1.67227,1.01872,1.18957,0.000519544,0.000519544,0.000519544
92,61131.9,1.01882,0.76443,1.27477,0.63848,0.6931,0.68076,0.3639,1.66604,0.98394,1.2091,0.000509438,0.000509438,0.000509438
93,61819.4,1.04434,0.79343,1.27994,0.60206,0.71156,0.67171,0.36006,1.66033,0.9969,1.19573,0.000499333,0.000499333,0.000499333
